target,Param,mean_PV,sd_PV,hpd_3%_PV,hpd_97%_PV,mcse_mean_PV,mcse_sd_PV,ess_mean_PV,ess_sd_PV,ess_bulk_PV,ess_tail_PV,r_hat_PV,class_PV,FC_PV,SigFactor_PV,Status_PV,mean_CVB,sd_CVB,hpd_3%_CVB,hpd_97%_CVB,mcse_mean_CVB,mcse_sd_CVB,ess_mean_CVB,ess_sd_CVB,ess_bulk_CVB,ess_tail_CVB,r_hat_CVB,class_CVB,FC_CVB,SigFactor_CVB,Status_CVB,CVB_PV
AAK1,MP,5.79,0.359,5.013,6.271,0.008,0.006,2052,2052,2160,3613,1,NA,-0.0405381598748773,-0.0927047349581224,Unchanged,8.298,0.196,7.934,8.666,0.002,0.001,9823,9785,9912,11478,1,NA,0.0371590457544444,0.103526773325164,Unchanged,Unchanged Unchanged
AAK1,Max,18.029,1.646,14.894,21.066,0.023,0.016,5009,5002,5000,6747,1,NA,0.303659471746472,0.129344552927642,Unchanged,15.388,0.795,13.804,16.784,0.011,0.008,5223,5223,4926,4234,1,NA,-0.0240803409405601,-0.0180840632222946,Unchanged,Unchanged Unchanged
AAK1,Slope,27.329,27.76,0.529,79.877,0.452,0.32,3764,3764,3197,8856,1,NA,3.40331312236335,0.403626722224891,Unchanged,1.012,0.172,0.712,1.328,0.002,0.001,8372,8343,8507,11090,1,NA,0.0128876840821295,0.0450255166674028,Unchanged,NA
AAK1,dof,8.252,5.569,0.814,18.541,0.075,0.053,5443,5443,3956,3116,1,NA,2.2868671614765,0.617779608211118,Unchanged,8.058,5.573,0.624,18.329,0.061,0.043,8267,8267,3121,1219,1,NA,2.19157124459108,0.56427112954782,Unchanged,NA
AAK1,k,0.415,1.31,-2.123,2.877,0.019,0.014,4805,4404,4813,5863,1,NA,4.69696752623429,2.87719270767714,Unchanged,-0.225,0.41,-1.008,0.559,0.004,0.004,8372,6729,8575,8693,1,NA,0.00642626915943309,0.0103927265467985,Unchanged,NA
AAK1,sigma,4.168,0.879,2.475,5.887,0.015,0.01,3506,3506,3976,2631,1,NA,0.959723427601961,0.645437333331807,Unchanged,1.257,0.291,0.66,1.811,0.006,0.004,2264,2264,2952,1014,1,NA,0.534217701976028,0.965472247917645,Unchanged,NA
ABCC4,MP,5.566,0.344,5.323,5.976,0.009,0.006,1579,1579,2007,679,1,NA,-0.097460599419869,-0.309350408267893,Unchanged,8.326,0.306,7.774,8.916,0.005,0.003,4198,4106,4237,4573,1,NA,0.0420189470230125,0.0937250712205446,Unchanged,Unchanged Unchanged
ABCC4,Max,17.016,1.847,15.14,18.632,0.049,0.035,1433,1433,3154,2699,1,NA,0.220232031970389,0.124714697847186,Unchanged,22.552,1.362,19.9,24.993,0.018,0.013,5863,5863,5856,8234,1,NA,0.527369307333247,0.302949004331937,Unchanged,Unchanged Unchanged
ABCC4,Slope,3.869,7.267,0.927,7.552,0.38,0.269,367,367,1200,380,1,NA,0.582913085325216,0.239252705979736,Unchanged,0.812,0.152,0.543,1.094,0.002,0.001,7468,7292,7836,9614,1,NA,-0.304769973427004,-1.1258241417408,Unchanged,NA
ABCC4,dof,1.817,1.606,0.565,3.441,0.041,0.029,1561,1561,3016,1803,1,NA,0.103681759824132,0.0695373557751222,Unchanged,9.271,5.957,0.941,19.999,0.075,0.053,6347,6347,3447,1659,1,NA,2.39387440009466,0.594077222962436,Unchanged,NA
ABCC4,k,-0.091,0.728,-1.348,1.257,0.017,0.013,1783,1679,2518,1560,1,NA,NA,NA,Unchanged,-0.568,0.786,-2.088,0.914,0.009,0.007,7088,5944,7356,7746,1,NA,1.34239219744708,1.56848063842016,Unchanged,NA
ABCC4,sigma,1.904,0.676,0.833,3.252,0.016,0.012,1772,1510,2462,1636,1,NA,-0.170598371368604,-0.136260332294437,Unchanged,2.083,0.433,1.144,2.855,0.009,0.006,2471,2471,3145,1234,1,NA,1.26289589159617,1.87198225371868,Up,NA
ABCD3,MP,5.911,0.113,5.669,6.065,0.002,0.002,2486,2486,2428,7095,1,NA,-0.0106992875005855,-0.0436099381435104,Unchanged,7.787,0.224,7.359,8.201,0.002,0.001,15217,15216,15246,13163,1,NA,-0.0545369851873283,-0.141670278204295,Unchanged,Unchanged Unchanged
ABCD3,Max,14.331,0.762,12.913,15.797,0.017,0.012,1966,1950,1974,1395,1,NA,-0.0275206237978621,-0.017148846626018,Unchanged,18.275,0.969,16.454,20.087,0.011,0.008,7936,7899,8049,9886,1,NA,0.223985330489987,0.152345066300333,Unchanged,Unchanged Unchanged
ABCD3,Slope,10.415,14.494,1.235,38.682,0.943,0.708,236,210,520,261,1.01,NA,2.01154329081001,0.347269677204475,Unchanged,0.933,0.17,0.635,1.248,0.002,0.001,9165,8920,9375,11533,1,NA,-0.104372619760422,-0.365536312742513,Unchanged,NA
ABCD3,dof,5.011,3.078,1.299,10.512,0.057,0.041,2883,2883,1566,593,1,NA,1.56722187801959,0.587273227999059,Unchanged,11.5,5.851,2.005,22.24,0.048,0.034,14604,14604,12014,8872,1,NA,2.70471139516158,0.651402661989159,Unchanged,NA
ABCD3,k,0.232,0.555,-0.862,1.29,0.014,0.013,1471,964,1507,701,1,NA,3.85798099512757,3.60226240762717,Unchanged,-0.441,0.616,-1.638,0.694,0.007,0.005,7900,6901,8036,7799,1,NA,0.977279923499916,1.29556674187582,Unchanged,NA
ABCD3,sigma,2.074,0.347,1.447,2.749,0.006,0.004,3915,3915,3811,5080,1,NA,-0.0472159558633219,-0.0514038669869121,Unchanged,1.68,0.245,1.221,2.136,0.002,0.002,11991,11991,11833,8849,1,NA,0.952694285221643,1.93108857644531,Up,NA
ABI1,MP,5.681,0.24,5.246,6.001,0.009,0.006,719,693,415,183,1.02,NA,-0.0679566051097859,-0.200602529526119,Unchanged,8.65,0.787,7.997,9.975,0.388,0.297,4,4,5,15,2.58,NA,0.0970955212942433,0.164562061881828,Unchanged,Unchanged Unchanged
ABI1,Max,15.302,0.87,13.638,16.897,0.018,0.013,2259,2259,2252,4230,1,NA,0.067060321739225,0.0393095183964607,Unchanged,9.14,0.521,8.55,10.169,0.203,0.151,7,7,5,11,2,NA,-0.775620005291743,-0.790254713556028,Unchanged,Unchanged Unchanged
ABI1,Slope,13.791,18.849,1.398,55.224,1.5,1.063,158,158,313,189,1.02,NA,2.41660752341996,0.347981427088383,Unchanged,16.661,22.464,0.788,55.067,11.223,8.598,4,4,5,24,2.94,NA,4.05408148338289,1.50886621349755,Unchanged,NA
ABI1,dof,10.157,5.611,1.511,20.177,0.148,0.105,1432,1432,1489,5149,1.01,NA,2.58652578171437,0.680928378004725,Unchanged,0.573,0.47,0.129,1.339,0.213,0.161,5,5,5,13,2.22,NA,-1.62224351680062,-1.59773064307347,Down,NA
ABI1,k,0.333,0.74,-1.108,1.689,0.017,0.012,1847,1817,1845,3844,1,NA,4.37937836707126,3.58676258697402,Unchanged,-0.082,0.121,-0.345,0.017,0.042,0.031,8,8,8,81,1.76,NA,-1.44980291743952,-4.87820189882432,Unchanged,NA
ABI1,sigma,2.091,0.329,1.492,2.729,0.01,0.007,1056,1056,922,4764,1.01,NA,-0.0354387880869679,-0.0395827997268242,Unchanged,0.198,0.217,0,0.547,0.1,0.075,5,5,5,11,2.31,NA,-2.13219461236487,-5.58974968511396,Down,NA
ACAD9,MP,6.055,0.17,5.807,6.452,0.004,0.003,2255,2228,4172,2164,1,NA,0.0240254518302147,0.0767308329332027,Unchanged,8.59,0.259,8.098,9.077,0.002,0.002,11676,11676,11686,11671,1,NA,0.08705351990862,0.209719423977792,Unchanged,Unchanged Unchanged
ACAD9,Max,9.406,0.714,8.111,10.808,0.011,0.008,4001,3972,4024,4571,1,NA,-0.635006669132302,-0.409177819630618,Unchanged,21.785,1.342,19.283,24.276,0.015,0.011,7782,7642,8079,10003,1,NA,0.477449037565355,0.277005094460449,Unchanged,Unchanged Unchanged
ACAD9,Slope,19.9,20.134,1.477,57.957,0.492,0.352,1676,1638,2412,1668,1,NA,2.94564888220037,0.414075590017243,Unchanged,0.854,0.164,0.564,1.159,0.002,0.001,9256,9256,9164,11107,1,NA,-0.23201363099169,-0.824763052765554,Unchanged,NA
ACAD9,dof,8.159,5.188,1.169,17.776,0.075,0.053,4813,4813,3657,3917,1,NA,2.27051568075175,0.633707965068878,Unchanged,10.461,5.981,0.868,20.977,0.066,0.047,8235,8235,4670,2194,1,NA,2.56809830394034,0.620435457605185,Unchanged,NA
ACAD9,k,0.145,0.568,-0.948,1.199,0.009,0.007,3755,3511,3800,4801,1,NA,3.17990909001493,2.97259044478584,Unchanged,-0.479,0.751,-1.893,0.935,0.008,0.007,7969,6514,8269,8952,1,NA,1.09652692367858,1.32003268228698,Unchanged,NA
ACAD9,sigma,1.899,0.354,1.242,2.566,0.007,0.005,2821,2821,2797,2181,1,NA,-0.17439194452705,-0.188275983426858,Unchanged,2.133,0.37,1.439,2.859,0.007,0.005,3111,3111,4092,1981,1,NA,1.29711701789609,2.11054281464624,Up,NA
ACADL,MP,5.67,0.068,5.55,5.804,0.001,0,13341,13304,13622,11473,1,NA,-0.0707527729218852,-0.360084819725582,Unchanged,7.66,0.088,7.504,7.837,0.001,0.001,6321,6307,8430,6059,1,NA,-0.0782602193048866,-0.323267920784809,Unchanged,Unchanged Unchanged
ACADL,Max,21.709,0.502,20.777,22.665,0.005,0.004,9231,9195,9577,8697,1,NA,0.571633364962779,0.440241363850381,Unchanged,19.641,0.271,19.141,20.135,0.003,0.002,7946,7935,8594,7803,1,NA,0.3279823090725,0.42648007315903,Unchanged,Unchanged Unchanged
ACADL,Slope,2.366,0.315,1.847,2.908,0.004,0.003,7287,5212,10912,9940,1,NA,-0.126597569778212,-0.129841544253757,Unchanged,1.328,0.108,1.129,1.534,0.001,0.001,5776,5623,6529,5924,1,NA,0.404933540734744,1.744738798934,Up,NA
ACADL,dof,1.458,0.747,0.618,2.491,0.009,0.006,6807,6807,7728,8559,1,NA,-0.213885940083046,-0.177755726743799,Unchanged,1.206,1.092,0.399,2.18,0.017,0.012,3920,3920,4504,4793,1,NA,-0.548620653657436,-0.445369422036853,Unchanged,NA
ACADL,k,-0.081,0.328,-0.733,0.526,0.004,0.003,8168,6059,9020,8226,1,NA,NA,NA,Unchanged,-0.033,0.165,-0.33,0.282,0.002,0.002,7797,3057,8850,7149,1,NA,-2.76296080269915,-7.14996802322388,Unchanged,NA
ACADL,sigma,1.286,0.403,0.594,2.018,0.005,0.003,6908,6731,7077,8724,1,NA,-0.7367412073486,-0.766959557634509,Unchanged,0.436,0.237,0.122,0.867,0.004,0.003,3515,3503,3287,1626,1,NA,-0.993366907667553,-2.23146836036075,Down,NA
ACBD3,MP,6.41,0.083,6.237,6.544,0.001,0.001,3907,3897,3808,5848,1,NA,0.106222848754627,0.491730291798289,Unchanged,7.964,1.567,5.28,9.233,0.775,0.593,4,4,7,13,1.58,NA,-0.0221113903967033,-0.0265091810611954,Unchanged,Unchanged Unchanged
ACBD3,Max,19.558,0.377,18.777,20.146,0.005,0.004,4796,4796,6034,5420,1,NA,0.421098941476784,0.380852399566597,Unchanged,17.191,10.006,0,24.996,4.963,3.797,4,4,7,14,1.57,NA,0.135767393100285,0.0352047883935658,Unchanged,Unchanged Unchanged
ACBD3,Slope,2.098,0.212,1.741,2.499,0.003,0.002,4843,4664,5289,5815,1,NA,-0.300032965540733,-0.364066205168258,Unchanged,11.248,18.272,0.556,42.895,9.129,6.994,4,4,7,15,1.55,NA,3.48727498846035,1.46956931880439,Unchanged,NA
ACBD3,dof,1.054,0.551,0.399,2.009,0.009,0.007,3433,3433,1643,818,1,NA,-0.682001792772769,-0.611340026302295,Unchanged,8.458,7.082,0.079,20.489,2.478,1.819,8,8,7,13,1.58,NA,2.26146599947128,0.542311436208231,Unchanged,NA
ACBD3,k,-0.102,0.165,-0.455,0.186,0.002,0.002,6575,4502,7675,5913,1,NA,NA,NA,Unchanged,-0.584,0.671,-1.947,0.376,0.171,0.124,15,15,16,2691,1.16,NA,1.38246963682241,1.83626807448522,Unchanged,NA
ACBD3,sigma,0.648,0.327,0.14,1.242,0.007,0.005,2337,2337,1062,308,1,NA,-1.72556613179192,-2.04198857543042,Down,1.324,0.801,0,2.155,0.384,0.292,4,4,7,31,1.54,NA,0.609136174362739,0.804544250991465,Unchanged,NA
ADCY9,MP,6.451,0.286,6.007,6.964,0.008,0.005,1381,1358,1296,713,1,NA,0.115421308759002,0.302627389504211,Unchanged,8.978,0.211,8.62,9.45,0.004,0.003,2602,2602,2393,1157,1,NA,0.150789484798339,0.394526043568216,Unchanged,Unchanged Unchanged
ADCY9,Max,17.774,1.433,15.195,20.482,0.027,0.019,2787,2787,2735,3095,1,NA,0.2831084868427,0.130293426037568,Unchanged,12.21,0.699,11.04,13.872,0.016,0.011,1887,1887,2056,1267,1,NA,-0.357822875362409,-0.27565317169542,Unchanged,Unchanged Unchanged
ADCY9,Slope,14.58,21.935,0.816,60.721,0.687,0.486,1021,1021,1272,1546,1,NA,2.4968711710963,0.340808638189055,Unchanged,0.972,0.164,0.639,1.275,0.004,0.003,1439,1239,1773,1043,1,NA,-0.0452933870063997,-0.1557329175242,Unchanged,NA
ADCY9,dof,10.627,6.213,0.651,21.429,0.125,0.089,2459,2459,1756,814,1,NA,2.65178581695919,0.661678198709596,Unchanged,2.655,3.38,0.41,8.958,0.057,0.04,3520,3520,1967,1647,1,NA,0.589861300133995,0.218573672603612,Unchanged,NA
ADCY9,k,0.26,1.114,-1.829,2.359,0.023,0.016,2442,2442,2415,4538,1,NA,4.02236781302845,2.69224661618541,Unchanged,-0.143,0.199,-0.56,0.2,0.003,0.002,4132,3223,5057,4136,1,NA,-0.647483585279215,-1.50358177698596,Unchanged,NA
ADCY9,sigma,3.119,0.67,1.682,4.431,0.021,0.015,1003,1003,1499,678,1,NA,0.541451702697605,0.405681170796469,Unchanged,0.63,0.314,0.128,1.22,0.007,0.005,2194,2194,1705,1293,1,NA,-0.4623432140572,-0.857851964698771,Unchanged,NA
ADD1,MP,5.987,0.085,5.818,6.14,0.001,0.001,3393,3393,6313,3584,1.02,NA,0.00773176215132567,0.0349485173260046,Unchanged,7.466,0.257,7.067,7.997,0.055,0.04,22,22,24,1351,1.11,NA,-0.115269102814136,-0.284914862516927,Unchanged,Unchanged Unchanged
ADD1,Max,12.76,0.641,11.59,13.991,0.014,0.01,2085,2000,1932,3035,1,NA,-0.195031577338052,-0.133193528348519,Unchanged,11.295,1.045,9.955,12.929,0.395,0.292,7,7,8,4,1.41,NA,-0.470201804956728,-0.353472252103081,Unchanged,Unchanged Unchanged
ADD1,Slope,20.478,24.973,1.433,77.049,2.71,1.971,85,81,168,258,1.02,NA,2.98695527170202,0.362884037129455,Unchanged,1.432,0.604,0.812,2.007,0.17,0.123,13,13,9,790,1.37,NA,0.513709886652076,1.28857040021432,Unchanged,NA
ADD1,dof,1.83,0.939,0.674,3.296,0.017,0.012,2918,2918,2148,2465,1.01,NA,0.113966988761421,0.0800521467517285,Unchanged,2.792,3.447,0.331,8.875,0.703,0.503,24,24,7,4,1.51,NA,0.662448380652132,0.245528338856198,Unchanged,NA
ADD1,k,0.144,0.411,-0.6,0.935,0.007,0.005,3191,3191,2685,3301,1,NA,3.16992500144231,3.50454138379366,Unchanged,-0.122,0.369,-0.921,0.523,0.017,0.021,485,151,270,4389,1.53,NA,-0.876617584494718,-1.47683395280284,Unchanged,NA
ADD1,sigma,1.717,0.481,0.823,2.628,0.01,0.007,2281,2281,2242,3206,1.01,NA,-0.319741810674413,-0.295646896174703,Unchanged,0.833,0.578,0.078,1.725,0.221,0.164,7,7,7,4,1.53,NA,-0.0593785470789318,-0.0897102256010582,Unchanged,NA
ADD3,MP,5.922,0.121,5.68,6.073,0.003,0.002,1750,1750,3100,2324,1,NA,-0.0080170175739225,-0.0328015802231585,Unchanged,7.922,0.141,7.655,8.178,0.002,0.001,6062,5998,5557,9475,1,NA,-0.0297399102125864,-0.0980240122267074,Unchanged,Unchanged Unchanged
ADD3,Max,13.234,0.759,11.862,14.681,0.012,0.008,4325,4325,4286,6325,1,NA,-0.142410721773496,-0.0897572256249281,Unchanged,9.79,0.344,9.165,10.476,0.005,0.004,4517,4358,4547,1585,1,NA,-0.676505310746118,-0.765969331884165,Unchanged,Unchanged Unchanged
ADD3,Slope,16.018,18.9,1.194,54.079,0.583,0.446,1050,898,1747,1110,1,NA,2.63257447619377,0.38243744418346,Unchanged,1.127,0.144,0.855,1.4,0.001,0.001,9853,9829,9802,11878,1,NA,0.168165909560041,0.624617127819543,Unchanged,NA
ADD3,dof,8.952,5.179,1.623,18.401,0.068,0.048,5866,5866,5515,6743,1,NA,2.40433337656641,0.667628462407198,Unchanged,7.607,5.649,0.585,17.982,0.102,0.072,3091,3091,921,325,1.01,NA,2.10847704415379,0.547661104463898,Unchanged,NA
ADD3,k,0.226,0.601,-0.88,1.38,0.01,0.007,3418,3240,3431,2972,1,NA,3.82017896241519,3.48069431986114,Unchanged,-0.043,0.204,-0.433,0.351,0.002,0.002,8622,7529,8754,9729,1,NA,-2.38109016735551,-5.44405992619815,Unchanged,NA
ADD3,sigma,2.276,0.328,1.638,2.878,0.005,0.003,5245,5245,5254,5711,1,NA,0.0868687076300343,0.0969092014516994,Unchanged,0.578,0.161,0.248,0.885,0.006,0.004,695,695,855,276,1.01,NA,-0.586625549943801,-1.42511673463566,Unchanged,NA
ADNP,MP,6.295,0.324,5.929,6.986,0.006,0.004,2732,2714,2946,4145,1,NA,0.0801048698549027,0.199847919548863,Unchanged,8.345,0.123,8.116,8.58,0.001,0.001,12837,12804,12966,11687,1,NA,0.0453074381327553,0.158545595632033,Unchanged,Unchanged Unchanged
ADNP,Max,16.228,1.624,13.259,19.367,0.026,0.019,3840,3840,3829,6432,1,NA,0.151825301215989,0.0650083147616477,Unchanged,14.34,0.479,13.471,15.252,0.006,0.004,6350,6309,6491,7978,1,NA,-0.125841051647908,-0.122245222801568,Unchanged,Unchanged Unchanged
ADNP,Slope,19.922,24.585,0.563,66.931,0.495,0.35,2468,2468,2464,6978,1,NA,2.94724294046609,0.382192857042286,Unchanged,0.881,0.089,0.721,1.053,0.001,0.001,7471,7471,7359,9508,1,NA,-0.187107681691767,-0.890423791359859,Unchanged,NA
ADNP,dof,9.121,5.543,0.957,19.233,0.075,0.053,5475,5475,4110,3204,1,NA,2.43131534621576,0.646861002759397,Unchanged,8.125,5.272,1.182,17.895,0.052,0.037,10340,10340,7491,7779,1,NA,2.20351725213302,0.583941647923657,Unchanged,NA
ADNP,k,0.39,1.206,-1.808,2.776,0.019,0.014,3979,3979,3974,6735,1,NA,4.60733031374961,2.947565334676,Unchanged,-0.28,0.241,-0.743,0.168,0.003,0.002,7434,5824,7917,7941,1,NA,0.321928094887362,0.682817711781467,Unchanged,NA
ADNP,sigma,3.905,0.724,2.499,5.302,0.013,0.009,3077,3077,3356,2412,1,NA,0.865690698352794,0.642338124507235,Unchanged,0.779,0.139,0.516,1.041,0.002,0.001,7586,7586,7899,6547,1,NA,-0.15607171438281,-0.417641580800487,Unchanged,NA
ADPGK,MP,6.264,0.128,5.999,6.419,0.003,0.002,1496,1496,1694,1135,1,NA,0.0729827045395643,0.288850759576816,Unchanged,7.973,0.101,7.8,8.175,0.001,0.001,9152,9145,9236,10835,1,NA,-0.0204819423514901,-0.079725852475061,Unchanged,Unchanged Unchanged
ADPGK,Max,19.173,0.992,17.155,20.39,0.035,0.025,786,786,1217,1141,1,NA,0.392416186772698,0.230878791943462,Unchanged,15.915,0.471,15.093,16.745,0.005,0.004,7606,7606,7744,11245,1,NA,0.0245010812861083,0.0247127881834296,Unchanged,Unchanged Unchanged
ADPGK,Slope,5.446,11.454,0.926,18.336,0.524,0.371,477,477,1222,714,1,NA,1.0761493389258,0.272470289289269,Unchanged,1.206,0.112,1.006,1.419,0.001,0.001,8254,8091,8530,9332,1,NA,0.265908301287904,1.13456935582757,Up,NA
ADPGK,dof,1.409,2.638,0.236,4.613,0.089,0.063,883,883,762,1089,1,NA,-0.263205048100347,-0.14309227688825,Unchanged,0.917,0.307,0.449,1.468,0.004,0.003,6325,6325,5122,4066,1,NA,-0.943856921962466,-1.01297627951311,Down,NA
ADPGK,k,0.044,0.467,-0.646,0.931,0.011,0.007,1951,1951,2726,1199,1,NA,1.4594316186373,1.59185791017593,Unchanged,-0.113,0.142,-0.396,0.144,0.001,0.001,9802,7225,10846,8893,1,NA,-0.987175959642416,-2.7195858790431,Unchanged,NA
ADPGK,sigma,1.07,1.077,0.091,3.652,0.044,0.031,598,598,681,979,1,NA,-1.00202105338804,-0.659634492224197,Unchanged,0.555,0.21,0.197,0.929,0.003,0.002,5267,5267,4289,2983,1,NA,-0.645207271207011,-1.46218691868164,Unchanged,NA
AGK,MP,6.279,0.189,5.966,6.634,0.003,0.002,3163,3147,3174,3676,1,NA,0.076433304225389,0.23986816313955,Unchanged,7.988,0.158,7.664,8.257,0.002,0.001,9836,9836,10109,10881,1,NA,-0.0177702786732333,-0.0550060624894127,Unchanged,Unchanged Unchanged
AGK,Max,19.726,1.272,17.34,22.132,0.023,0.016,3110,3110,3120,3857,1,NA,0.433438532376957,0.209528634662411,Unchanged,12.157,0.441,11.308,12.994,0.005,0.003,8867,8820,9054,8719,1,NA,-0.364098818871899,-0.363523090676754,Unchanged,Unchanged Unchanged
AGK,Slope,4.055,7.917,0.881,13.313,0.329,0.233,580,580,1403,503,1,NA,0.650654270986635,0.194951140099798,Unchanged,1.05,0.138,0.808,1.318,0.001,0.001,9794,9682,9824,10624,1,NA,0.0660677219413045,0.253675440842528,Unchanged,NA
AGK,dof,10.192,5.814,1.341,20.744,0.071,0.05,6773,6773,5294,5105,1,NA,2.59148861784632,0.669152518565083,Unchanged,2.379,1.865,0.554,5.352,0.02,0.014,8397,8397,6140,8200,1,NA,0.431504710867614,0.213420248968485,Unchanged,NA
AGK,k,-0.02,1.011,-1.913,1.943,0.017,0.012,3578,3578,3596,4232,1,NA,NA,NA,Unchanged,-0.143,0.23,-0.584,0.302,0.003,0.002,8221,6216,8860,8331,1,NA,-0.647483585279215,-1.39256985172948,Unchanged,NA
AGK,sigma,2.662,0.45,1.802,3.519,0.008,0.006,3211,3211,3269,3926,1,NA,0.312878721235344,0.29662201269376,Unchanged,0.802,0.285,0.295,1.32,0.004,0.003,5978,5978,5409,5691,1,NA,-0.114092805989559,-0.218502047158376,Unchanged,NA
AHCYL1,MP,5.848,0.106,5.649,6.021,0.002,0.001,3744,3723,3752,10395,1,NA,-0.0261581967990391,-0.110005535354988,Unchanged,7.768,0.186,7.479,8.141,0.006,0.004,1059,1059,876,2056,1.01,NA,-0.0580614106980138,-0.170099193666423,Unchanged,Unchanged Unchanged
AHCYL1,Max,17.184,0.635,15.983,18.365,0.009,0.006,5440,5440,5372,4524,1,NA,0.234405991995129,0.160720805783772,Unchanged,15.614,0.984,13.764,17.37,0.034,0.024,814,814,793,510,1.01,NA,-0.00304590090104007,-0.0020794305748484,Unchanged,Unchanged Unchanged
AHCYL1,Slope,4.31,5.198,1.592,12.273,0.241,0.187,465,386,1538,636,1,NA,0.73864022585846,0.238766279921796,Unchanged,1.517,2.577,0.877,1.787,0.109,0.077,559,559,893,2607,1.01,NA,0.596899479634853,1.7157526709476,Unchanged,NA
AHCYL1,dof,1.743,0.655,0.807,2.924,0.008,0.006,6454,6257,6743,9161,1,NA,0.0436959097157018,0.0341578564841609,Unchanged,3.659,4.496,0.187,12.608,0.111,0.079,1627,1627,346,135,1.02,NA,1.05259885478157,0.323567441504358,Unchanged,NA
AHCYL1,k,0.095,0.376,-0.556,0.883,0.007,0.005,3168,3168,3361,1959,1,NA,2.56985560833095,2.93436896646464,Unchanged,-0.1,0.364,-0.921,0.588,0.006,0.005,3806,2477,4221,3089,1.01,NA,-1.16349873228288,-1.91746030217808,Unchanged,NA
AHCYL1,sigma,1.542,0.374,0.881,2.267,0.005,0.004,4668,4620,4730,6775,1,NA,-0.474829084761513,-0.501035150178003,Unchanged,0.916,0.616,0.018,1.891,0.026,0.018,572,572,346,96,1.02,NA,0.0776525556524646,0.110013516430173,Unchanged,NA
AHSG,MP,6.017,0.12,5.776,6.243,0.002,0.001,3492,3459,3424,4924,1,NA,0.0149428486783776,0.0560858316763939,Unchanged,7.726,0.183,7.383,8.075,0.002,0.001,14003,13981,14163,12078,1,NA,-0.0658829338852748,-0.188783289681186,Unchanged,Unchanged Unchanged
AHSG,Max,19.642,0.923,17.748,21.349,0.015,0.011,3818,3818,3722,4825,1,NA,0.427281929687219,0.238274318565317,Unchanged,19.564,0.888,17.862,21.205,0.009,0.007,8774,8730,8816,10305,1,NA,0.322315294100614,0.228535800381204,Unchanged,Unchanged Unchanged
AHSG,Slope,5.975,10.494,1.189,22.636,0.478,0.339,481,481,815,646,1,NA,1.20989106963747,0.275999941765477,Unchanged,1.073,0.188,0.739,1.413,0.002,0.001,10287,9766,10634,12028,1,NA,0.0973284701443413,0.325075416928191,Unchanged,NA
AHSG,dof,1.409,0.942,0.393,2.828,0.026,0.018,1311,1311,805,1185,1,NA,-0.263205048100347,-0.191846987828412,Unchanged,9.885,5.748,1.383,20.377,0.047,0.034,14653,14653,11641,9529,1,NA,2.48639040505905,0.618075184214304,Unchanged,NA
AHSG,k,0.054,0.523,-0.807,1.241,0.013,0.009,1686,1686,2011,1158,1,NA,1.75488750216347,1.67965737195632,Unchanged,-0.366,0.52,-1.427,0.549,0.005,0.004,8928,8302,9081,9804,1,NA,0.708344916226438,1.02013206364397,Unchanged,NA
AHSG,sigma,2.018,0.95,0.481,3.757,0.033,0.023,830,830,706,570,1,NA,-0.0867056755701903,-0.0595097433028173,Unchanged,1.446,0.263,0.955,1.958,0.003,0.002,11046,11046,10945,8468,1,NA,0.736300604506638,1.42548900607011,Up,NA
AIMP1,MP,6.381,0.162,5.999,6.629,0.003,0.002,2664,2664,3143,918,1,NA,0.0996810259303521,0.322122032314231,Unchanged,8.262,0.127,8.025,8.507,0.001,0.001,13669,13668,13713,12823,1,NA,0.0308864487389145,0.106044493920888,Unchanged,Unchanged Unchanged
AIMP1,Max,22.784,1.098,20.602,24.833,0.021,0.015,2705,2705,3141,1914,1,NA,0.641361144976114,0.329955524174427,Unchanged,13.264,0.434,12.481,14.127,0.005,0.003,9109,9066,9239,10703,1,NA,-0.238370163741425,-0.240867661643895,Unchanged,Unchanged Unchanged
AIMP1,Slope,2.501,5.211,0.954,2.955,0.343,0.243,231,231,2016,723,1,NA,-0.0465425859370304,-0.0347594551373917,Unchanged,0.96,0.097,0.781,1.141,0.001,0.001,10052,10052,10089,11861,1,NA,-0.063215295003662,-0.288898374392826,Unchanged,NA
AIMP1,dof,2.679,2.521,0.475,7.036,0.044,0.031,3277,3277,1835,847,1,NA,0.663817921432396,0.294763841125016,Unchanged,10.258,5.591,1.907,20.653,0.046,0.032,14924,14924,12926,11856,1,NA,2.5398270104198,0.635521187188583,Unchanged,NA
AIMP1,k,-0.301,0.726,-1.708,1.106,0.012,0.008,3703,3703,4067,2205,1,NA,NA,NA,Unchanged,-0.272,0.272,-0.786,0.25,0.003,0.002,9143,7783,9247,9643,1,NA,0.280107919192735,0.557122369406419,Unchanged,NA
AIMP1,sigma,2.112,0.845,0.716,3.808,0.02,0.014,1759,1759,1352,810,1,NA,-0.021022015318094,-0.0148513899919961,Unchanged,0.739,0.118,0.521,0.965,0.001,0.001,13201,13201,12977,10739,1,NA,-0.232120678298328,-0.675431837032907,Unchanged,NA
AKT1S1,MP,6.26,0.206,5.945,6.638,0.006,0.004,1085,1085,851,3157,1.01,NA,0.0720611490685043,0.22203056890283,Unchanged,8.079,0.175,7.762,8.41,0.002,0.001,6851,6851,6790,11395,1,NA,-0.00142788089437787,-0.00422812818822017,Unchanged,Unchanged Unchanged
