target,Param,mean_PV,sd_PV,hpd_3%_PV,hpd_97%_PV,mcse_mean_PV,mcse_sd_PV,ess_mean_PV,ess_sd_PV,ess_bulk_PV,ess_tail_PV,r_hat_PV,class_PV,FC_PV,SigFactor_PV,Status_PV,mean_CVB,sd_CVB,hpd_3%_CVB,hpd_97%_CVB,mcse_mean_CVB,mcse_sd_CVB,ess_mean_CVB,ess_sd_CVB,ess_bulk_CVB,ess_tail_CVB,r_hat_CVB,class_CVB,FC_CVB,SigFactor_CVB,Status_CVB,CVB_PV
VPS28,k,0.208,0.912,-1.517,1.943,0.014,0.01,3975,3975,3980,6229,1,NA,3.70043971814109,2.72490697032754,Unchanged,-0.211,0.287,-0.8,0.267,0.004,0.003,4659,3587,5698,4746,1,NA,-0.086255733350419,-0.16904831607784,Unchanged,NA
VPS28,sigma,2.896,0.432,2.063,3.705,0.007,0.005,3588,3588,3434,2833,1,NA,0.434429752406658,0.421158413869285,Unchanged,0.999,0.498,0.225,1.944,0.01,0.007,2392,2392,1877,1616,1,NA,0.202789635347939,0.29989346189262,Unchanged,NA
VPS37C,MP,5.931,0.379,5.028,6.632,0.006,0.005,3590,3548,3935,4244,1,NA,-0.0058261363011122,-0.0117993114482463,Unchanged,8.341,0.199,7.98,8.731,0.005,0.003,1915,1915,3271,1231,1,NA,0.0446157468617374,0.12271901619732,Unchanged,Unchanged Unchanged
VPS37C,Max,19.735,2.47,14.983,24.231,0.034,0.024,5284,5284,5270,7341,1,NA,0.434096612790182,0.151055574557376,Unchanged,26.781,0.874,25.239,28.457,0.011,0.008,6581,6525,7096,8042,1,NA,0.775323756076272,0.560314147617994,Unchanged,Unchanged Unchanged
VPS37C,Slope,25.486,27.566,0.337,78.791,0.588,0.468,2199,1734,2759,2440,1,NA,3.30258541313999,0.393905920117413,Unchanged,0.93,0.133,0.705,1.148,0.005,0.004,694,448,2640,1216,1,NA,-0.109018984616787,-0.449132465541032,Unchanged,NA
VPS37C,dof,12.137,5.838,2.733,23.052,0.072,0.051,6602,6602,5684,5680,1,NA,2.84346329825016,0.717474904105724,Unchanged,1.463,0.904,0.529,2.58,0.013,0.009,4977,4977,2556,1035,1,NA,-0.269920791419034,-0.204189643574428,Unchanged,NA
VPS37C,k,0.757,2.034,-2.917,4.73,0.029,0.021,4828,4494,4820,6116,1,NA,5.56414948998573,2.75606616762777,Unchanged,-0.363,0.393,-1.173,0.303,0.005,0.004,6622,5444,7073,7637,1,NA,0.696470815938147,1.16055260591547,Unchanged,NA
VPS37C,sigma,6.148,0.852,4.577,7.77,0.011,0.008,5505,5505,5442,5154,1,NA,1.52048531501422,1.0570493605699,Up,1.295,0.443,0.56,2.16,0.008,0.006,2874,2874,2232,963,1,NA,0.577185150129437,0.884737304277235,Unchanged,NA
VPS51,MP,5.807,0.253,5.199,6.085,0.005,0.004,2205,2205,2515,3678,1,NA,-0.0363084740487868,-0.0989394158949738,Unchanged,7.867,0.176,7.544,8.204,0.002,0.001,10254,10216,10441,11366,1,NA,-0.0397910278511107,-0.116749991057445,Unchanged,Unchanged Unchanged
VPS51,Max,17.264,1.312,14.608,19.571,0.021,0.015,3844,3775,3870,5001,1,NA,0.241106863497733,0.114528007831423,Unchanged,15.005,0.737,13.692,16.402,0.01,0.007,5779,5763,5874,8591,1,NA,-0.0604427567515244,-0.0475993624391487,Unchanged,Unchanged Unchanged
